raw_time,quantized_time,offset_ms,bar,beat,step,strength,low,mid,high,accent
3.1463,3.1507,-4.350,2,3,12,0.1519,0.1035,0.2523,0.0000,0
3.1927,3.1507,42.050,2,3,12,0.1683,0.1148,0.2793,0.0000,0
3.2682,3.2682,0.000,2,4,13,0.9484,0.9705,0.7222,0.1254,1
3.4075,3.3858,21.750,2,4,14,0.2015,0.0000,0.4004,0.1726,0
3.5062,3.5033,2.900,2,4,15,0.2839,0.1080,0.2699,0.5816,0
3.7384,3.7384,0.000,3,1,1,0.9552,0.8914,1.0000,0.1320,1
3.8719,3.8545,17.400,3,1,2,0.2082,0.0000,0.4078,0.1960,0
3.9358,3.9706,-34.800,3,1,3,0.1384,0.0716,0.2585,0.0000,0
3.9822,3.9706,11.600,3,1,3,0.2473,0.0921,0.2642,0.4885,0
4.0577,4.0867,-29.000,3,1,4,0.1686,0.0993,0.3012,0.0000,0
4.1041,4.0867,17.400,3,1,4,0.1536,0.0808,0.2854,0.0000,0
4.1564,4.2028,-46.400,3,2,5,0.1601,0.1156,0.2555,0.0055,0
4.2028,4.2028,0.000,3,2,5,1.0000,1.0000,0.5701,0.1020,1
4.2725,4.3203,-47.850,3,2,6,0.1342,0.0000,0.2840,0.0036,0
4.3421,4.3203,21.750,3,2,6,0.1724,0.0000,0.3262,0.1921,0
4.3944,4.4379,-43.500,3,2,7,0.1736,0.1180,0.2886,0.0000,0
4.4408,4.4379,2.900,3,2,7,0.2838,0.1094,0.3205,0.5432,0
4.4931,4.4379,55.200,3,2,7,0.1498,0.1034,0.2466,0.0000,0
4.5395,4.5555,-15.950,3,2,8,0.1708,0.1204,0.2774,0.0000,0
4.5859,4.5555,30.450,3,2,8,0.1709,0.1119,0.2903,0.0019,0
4.6730,4.6730,0.000,3,3,9,0.9992,1.0000,0.5607,0.1157,1
4.7543,4.7905,-36.250,3,3,10,0.1324,0.0000,0.2802,0.0035,0
4.8065,4.7905,15.950,3,3,10,0.2013,0.0000,0.3934,0.1923,0
4.8530,4.9081,-55.100,3,3,11,0.1344,0.0607,0.2594,0.0024,0
4.9168,4.9081,8.700,3,3,11,0.2296,0.0589,0.0000,0.5555,0
4.9691,5.0257,-56.550,3,3,12,0.1630,0.1075,0.2759,0.0000,0
5.0213,5.0257,-4.350,3,3,12,0.1519,0.1035,0.2523,0.0000,0
5.0678,5.0257,42.150,3,3,12,0.1683,0.1148,0.2793,0.0000,0
5.1432,5.1432,0.000,3,4,13,0.9484,0.9705,0.7222,0.1254,0
5.2825,5.2607,21.750,3,4,14,0.2015,0.0000,0.4004,0.1726,0
5.3812,5.3783,2.900,3,4,15,0.2839,0.1080,0.2699,0.5816,0
5.6134,5.6134,0.000,4,1,1,0.9552,0.8914,1.0000,0.1320,1
5.7469,5.7295,17.400,4,1,2,0.2082,0.0000,0.4078,0.1960,0
5.8108,5.8456,-34.800,4,1,3,0.1384,0.0716,0.2585,0.0000,0
5.8572,5.8456,11.600,4,1,3,0.2473,0.0921,0.2642,0.4885,0
5.9327,5.9617,-29.000,4,1,4,0.1686,0.0993,0.3012,0.0000,0
5.9791,5.9617,17.400,4,1,4,0.1536,0.0808,0.2854,0.0000,0
6.0314,6.0778,-46.400,4,2,5,0.1601,0.1156,0.2555,0.0055,0
6.0778,6.0778,0.000,4,2,5,1.0000,1.0000,0.5701,0.1020,1
6.1475,6.1953,-47.850,4,2,6,0.1342,0.0000,0.2840,0.0036,0
6.2171,6.1953,21.750,4,2,6,0.1724,0.0000,0.3262,0.1921,0
6.2694,6.3129,-43.500,4,2,7,0.1736,0.1180,0.2886,0.0000,0
6.3158,6.3129,2.900,4,2,7,0.2838,0.1094,0.3205,0.5432,0
6.3681,6.3129,55.200,4,2,7,0.1498,0.1034,0.2466,0.0000,0
6.4145,6.4305,-15.950,4,2,8,0.1708,0.1204,0.2774,0.0000,0
6.4610,6.4305,30.550,4,2,8,0.1709,0.1119,0.2903,0.0019,0
6.5480,6.5480,0.000,4,3,9,0.9992,1.0000,0.5607,0.1157,1
6.6293,6.6655,-36.250,4,3,10,0.1324,0.0000,0.2802,0.0035,0
6.6815,6.6655,15.950,4,3,10,0.2013,0.0000,0.3934,0.1923,0
6.7280,6.7831,-55.100,4,3,11,0.1344,0.0607,0.2594,0.0024,0
6.7918,6.7831,8.700,4,3,11,0.2296,0.0589,0.0000,0.5555,0
6.8441,6.9007,-56.550,4,3,12,0.1630,0.1075,0.2759,0.0000,0
6.8963,6.9007,-4.350,4,3,12,0.1519,0.1035,0.2523,0.0000,0
6.9428,6.9007,42.150,4,3,12,0.1683,0.1148,0.2793,0.0000,0
7.0182,7.0182,0.000,4,4,13,0.9484,0.9705,0.7222,0.1254,0
7.1576,7.1357,21.850,4,4,14,0.2015,0.0000,0.4004,0.1726,0
7.2562,7.2533,2.900,4,4,15,0.2839,0.1080,0.2699,0.5816,0
7.4884,7.4884,0.000,5,1,1,0.9918,0.8705,0.9360,0.9955,1
7.6045,7.6045,0.000,5,1,2,0.4262,0.0000,0.3554,0.9746,0
7.7264,7.7206,5.800,5,1,3,0.4624,0.2040,0.3367,0.9764,0
7.8425,7.8367,5.800,5,1,4,0.4567,0.1900,0.2905,0.9946,0
7.9586,7.9528,5.800,5,2,5,1.0000,0.7971,1.0000,1.0000,1
8.0747,8.0703,4.350,5,2,6,0.4114,0.0000,0.1859,1.0000,0
8.1908,8.1879,2.900,5,2,7,0.4477,0.1829,0.2716,0.9835,0
8.3127,8.3055,7.250,5,2,8,0.4483,0.1971,0.2779,0.9684,0
8.4230,8.4230,0.000,5,3,9,1.0000,1.0000,0.4824,0.9004,1
8.5449,8.5405,4.350,5,3,10,0.4241,0.0000,0.2825,1.0000,0
8.6610,8.6581,2.900,5,3,11,0.4605,0.2052,0.2578,1.0000,0
8.7771,8.7757,1.450,5,3,12,0.4461,0.1738,0.2628,0.9907,0
8.8932,8.8932,0.000,5,4,13,1.0000,0.9415,1.0000,1.0000,1
9.0151,9.0107,4.350,5,4,14,0.4043,0.0000,0.1799,0.9834,0
9.1312,9.1283,2.900,5,4,15,0.4590,0.1978,0.2774,0.9986,0
9.2473,9.2459,1.450,5,4,16,0.4649,0.1959,0.3114,1.0000,0
9.3634,9.3634,0.000,6,1,1,0.9896,0.8705,0.9257,0.9955,1
9.4795,9.4810,-1.475,6,1,2,0.4262,0.0000,0.3554,0.9746,0
9.6015,9.5985,2.950,6,1,3,0.4624,0.2040,0.3367,0.9764,0
9.7176,9.7161,1.475,6,1,4,0.4567,0.1900,0.2905,0.9946,0
9.8337,9.8337,0.000,6,2,5,1.0000,0.7971,1.0000,1.0000,1
9.9498,9.9498,0.025,6,2,6,0.4114,0.0000,0.1859,1.0000,0
10.0659,10.0659,0.050,6,2,7,0.4477,0.1829,0.2716,0.9835,0
10.1878,10.1819,5.875,6,2,8,0.4483,0.1971,0.2779,0.9684,0
10.2980,10.2980,0.000,6,3,9,1.0000,1.0000,0.4824,0.9004,1
10.4200,10.4156,4.425,6,3,10,0.4241,0.0000,0.2825,1.0000,0
10.5361,10.5331,2.950,6,3,11,0.4605,0.2052,0.2578,1.0000,0
10.6522,10.6507,1.475,6,3,12,0.4461,0.1738,0.2628,0.9907,0
10.7683,10.7683,0.000,6,4,13,1.0000,0.9415,1.0000,1.0000,1
10.8902,10.8858,4.350,6,4,14,0.4043,0.0000,0.1799,0.9834,0
11.0063,11.0034,2.900,6,4,15,0.4590,0.1978,0.2774,0.9986,0
11.1224,11.1210,1.450,6,4,16,0.4649,0.1959,0.3114,1.0000,0
11.2385,11.2385,0.000,7,1,1,0.9896,0.8705,0.9257,0.9955,1
11.3546,11.3560,-1.450,7,1,2,0.4262,0.0000,0.3554,0.9746,0
11.4765,11.4736,2.900,7,1,3,0.4624,0.2040,0.3367,0.9764,0
11.5926,11.5912,1.450,7,1,4,0.4567,0.1900,0.2905,0.9946,0
11.7087,11.7087,0.000,7,2,5,1.0000,0.7971,1.0000,1.0000,1
11.8248,11.8248,0.000,7,2,6,0.4114,0.0000,0.1859,1.0000,0
11.9409,11.9409,0.000,7,2,7,0.4477,0.1829,0.2716,0.9835,0
12.0628,12.0570,5.800,7,2,8,0.4483,0.1971,0.2779,0.9684,0
12.1731,12.1731,0.000,7,3,9,1.0000,1.0000,0.4824,0.9004,1
12.2950,12.2906,4.350,7,3,10,0.4241,0.0000,0.2825,1.0000,0
12.4111,12.4082,2.900,7,3,11,0.4605,0.2052,0.2578,1.0000,0
12.5272,12.5258,1.450,7,3,12,0.4461,0.1738,0.2628,0.9907,0
12.6433,12.6433,0.000,7,4,13,1.0000,0.9415,1.0000,1.0000,1
12.7652,12.7608,4.350,7,4,14,0.4043,0.0000,0.1799,0.9834,0
12.8813,12.8784,2.900,7,4,15,0.4590,0.1978,0.2774,0.9986,0
12.9974,12.9960,1.450,7,4,16,0.4649,0.1959,0.3114,1.0000,0
13.1135,13.1135,0.000,8,1,1,0.9896,0.8705,0.9257,0.9955,1
13.2296,13.2310,-1.450,8,1,2,0.4262,0.0000,0.3554,0.9746,0
13.3515,13.3486,2.900,8,1,3,0.4624,0.2040,0.3367,0.9764,0
13.4676,13.4662,1.450,8,1,4,0.4567,0.1900,0.2905,0.9946,0
13.5837,13.5837,0.000,8,2,5,1.0000,0.7971,1.0000,1.0000,1
13.6998,13.6998,0.000,8,2,6,0.4114,0.0000,0.1859,1.0000,0
13.8159,13.8159,0.000,8,2,7,0.4477,0.1829,0.2716,0.9835,0
13.9378,13.9320,5.800,8,2,8,0.4483,0.1971,0.2779,0.9684,0
14.0481,14.0481,0.000,8,3,9,1.0000,1.0000,0.4824,0.9004,1
14.1700,14.1656,4.350,8,3,10,0.4241,0.0000,0.2825,1.0000,0
14.2861,14.2832,2.900,8,3,11,0.4605,0.2052,0.2578,1.0000,0
14.4022,14.4008,1.450,8,3,12,0.4461,0.1738,0.2628,0.9907,0
14.5183,14.5183,0.000,8,4,13,1.0000,0.9415,1.0000,1.0000,1
14.6402,14.6358,4.350,8,4,14,0.4043,0.0000,0.1799,0.9834,0
14.7563,14.7534,2.900,8,4,15,0.4590,0.1978,0.2774,0.9986,0
14.8724,14.8710,1.450,8,4,16,0.4649,0.1959,0.3114,1.0000,0
14.9885,14.9885,0.000,9,1,1,0.9487,0.8895,1.0000,0.1296,1
15.1220,15.1220,0.000,9,1,2,0.2025,0.0000,0.3962,0.1923,0
15.2149,15.2555,-40.600,9,1,3,0.1435,0.0994,0.2357,0.0011,0
15.2613,15.2555,5.800,9,1,3,0.3299,0.1368,0.3326,0.6517,0
15.3078,15.2555,52.300,9,1,3,0.1682,0.0993,0.3001,0.0000,0
15.3542,15.3890,-34.800,9,1,4,0.1523,0.0808,0.2823,0.0000,0
15.4064,15.3890,17.400,9,1,4,0.1591,0.1155,0.2527,0.0005,0
15.4529,15.3890,63.900,9,1,4,0.1674,0.1127,0.2801,0.0000,0
15.5225,15.5225,0.000,9,2,5,0.9619,0.9891,0.7090,0.1221,1
15.6502,15.6560,-5.825,9,2,6,0.1441,0.0000,0.2766,0.1512,0
15.7431,15.7896,-46.450,9,2,7,0.1487,0.1035,0.2436,0.0038,0
15.7896,15.7896,0.050,9,2,7,0.2972,0.1272,0.3158,0.5711,0
15.8360,15.7896,46.450,9,2,7,0.1694,0.1119,0.2866,0.0000,0
15.8824,15.9231,-40.675,9,2,8,0.1478,0.0899,0.2606,0.0000,0
15.9347,15.9231,11.625,9,2,8,0.1564,0.1084,0.2567,0.0029,0
15.9811,15.9231,58.025,9,2,8,0.1732,0.1219,0.2814,0.0024,0
16.0566,16.0566,0.000,9,3,9,0.9962,1.0000,0.5611,0.1102,1
16.1263,16.1901,-63.825,9,3,10,0.1327,0.0000,0.2808,0.0020,0
16.1959,16.1901,5.775,9,3,10,0.2101,0.0000,0.4163,0.1834,0
16.2714,16.3237,-52.250,9,3,11,0.1507,0.1032,0.2494,0.0000,0
16.3294,16.3237,5.750,9,3,11,0.2691,0.0463,0.0000,0.6613,0
16.4107,16.4572,-46.475,9,3,12,0.1508,0.1019,0.2515,0.0000,0
16.4629,16.4572,5.725,9,3,12,0.1592,0.1104,0.2612,0.0000,0
16.5094,16.4572,52.225,9,3,12,0.1646,0.1062,0.2818,0.0000,0
16.5907,16.5907,0.000,9,4,13,0.9294,1.0000,0.3438,0.0924,1
16.6545,16.5907,63.800,9,4,13,0.1490,0.0000,0.3154,0.0041,0
16.7242,16.7256,-1.450,9,4,14,0.1990,0.0000,0.3934,0.1767,0
16.7764,16.7256,50.750,9,4,14,0.1459,0.0998,0.2417,0.0000,0
16.8229,16.8606,-37.700,9,4,15,0.1324,0.0745,0.2407,0.0029,0
16.8693,16.8606,8.700,9,4,15,0.3097,0.1090,0.2985,0.6401,0
17.1305,17.1305,0.000,10,1,1,0.9830,0.9362,1.0000,0.1262,1
17.2640,17.2640,-0.025,10,1,2,0.2054,0.0000,0.4026,0.1928,0
17.3569,17.3976,-40.650,10,1,3,0.1421,0.0884,0.2478,0.0010,0
17.4034,17.3976,5.850,10,1,3,0.3355,0.1400,0.3413,0.6598,0
17.4498,17.3976,52.250,10,1,3,0.1690,0.1004,0.3009,0.0000,0
17.4962,17.5311,-34.875,10,1,4,0.1465,0.0881,0.2596,0.0000,0
17.5485,17.5311,17.425,10,1,4,0.1659,0.1186,0.2664,0.0009,0
17.5949,17.5311,63.825,10,1,4,0.1702,0.1143,0.2850,0.0000,0
17.6646,17.6646,0.000,10,2,5,0.9907,1.0000,0.6475,0.1169,1
17.7923,17.7981,-5.800,10,2,6,0.1447,0.0000,0.2826,0.1391,0
17.8852,17.9316,-46.400,10,2,7,0.1591,0.1111,0.2600,0.0039,0
17.9374,17.9316,5.800,10,2,7,0.2975,0.0833,0.2251,0.6649,0
18.0303,18.0651,-34.800,10,2,8,0.1397,0.0891,0.2408,0.0000,0
18.0767,18.0651,11.600,10,2,8,0.1578,0.1025,0.2695,0.0030,0
18.1232,18.0651,58.100,10,2,8,0.1682,0.1114,0.2840,0.0022,0
18.1986,18.1986,0.000,10,3,9,0.9911,1.0000,0.5264,0.1025,1
18.2915,18.3336,-42.075,10,3,10,0.1330,0.0000,0.2816,0.0000,0
18.3380,18.3336,4.425,10,3,10,0.2098,0.0000,0.4145,0.1876,0
18.3902,18.3336,56.625,10,3,10,0.1508,0.1003,0.2539,0.0029,0
18.4715,18.4686,2.950,10,3,11,0.2698,0.0678,0.0000,0.6535,0
18.5353,18.4686,66.750,10,3,11,0.1479,0.1104,0.2298,0.0000,0
18.5818,18.6035,-21.725,10,3,12,0.1537,0.0973,0.2659,0.0002,0
18.6514,18.6035,47.875,10,3,12,0.1639,0.1048,0.2821,0.0000,0
18.7385,18.7385,0.000,10,4,13,0.8714,0.8875,0.6825,0.1296,0
18.7966,18.7385,58.100,10,4,13,0.1577,0.0000,0.3338,0.0044,0
18.8662,18.8720,-5.825,10,4,14,0.1900,0.0000,0.3753,0.1697,0
18.9185,18.8720,46.475,10,4,14,0.1576,0.1095,0.2583,0.0000,0
18.9649,19.0055,-40.650,10,4,15,0.1483,0.0992,0.2488,0.0031,0
19.0113,19.0055,5.750,10,4,15,0.3140,0.1124,0.2958,0.6517,0
19.2726,19.2726,0.000,11,1,1,1.0000,0.9839,1.0000,0.1220,1
19.4061,19.4061,-0.000,11,1,2,0.2070,0.0000,0.4065,0.1922,0
19.4990,19.5396,-40.600,11,1,3,0.1471,0.0909,0.2573,0.0013,0
19.5454,19.5396,5.800,11,1,3,0.3376,0.1387,0.3459,0.6643,0
19.5918,19.5396,52.200,11,1,3,0.1679,0.1049,0.2922,0.0000,0
19.6441,19.6731,-29.000,11,1,4,0.1533,0.1039,0.2555,0.0000,0
19.6905,19.6731,17.400,11,1,4,0.1567,0.0954,0.2761,0.0013,0
19.7370,19.6731,63.900,11,1,4,0.1693,0.1144,0.2824,0.0000,0
19.8066,19.8066,0.000,11,2,5,1.0000,1.0000,0.5771,0.1107,1
19.9343,19.9401,-5.825,11,2,6,0.1439,0.0000,0.2856,0.1241,0
20.0040,19.9401,63.875,11,2,6,0.1532,0.0973,0.2646,0.0000,0
20.0795,20.0737,5.850,11,2,7,0.2990,0.0775,0.2485,0.6613,0
20.1491,20.2072,-58.075,11,2,8,0.1507,0.1071,0.2433,0.0000,0
20.1956,20.2072,-11.575,11,2,8,0.1597,0.1024,0.2744,0.0026,0
20.2420,20.2072,34.825,11,2,8,0.1573,0.0889,0.2856,0.0029,0
20.2942,20.3407,-46.500,11,3,9,0.1433,0.1111,0.2150,0.0000,0
20.3407,20.3407,0.000,11,3,9,0.9500,1.0000,0.4902,0.0930,1
20.4336,20.4756,-42.050,11,3,10,0.1339,0.0000,0.2833,0.0000,0
20.4800,20.4756,4.350,11,3,10,0.2046,0.0000,0.4016,0.1905,0
20.5322,20.4756,56.550,11,3,10,0.1653,0.1166,0.2681,0.0026,0
20.6135,20.6106,2.900,11,3,11,0.2647,0.0667,0.0000,0.6411,0
20.6774,20.6106,66.800,11,3,11,0.1569,0.1144,0.2482,0.0000,0
20.7238,20.7456,-21.750,11,3,12,0.1684,0.1162,0.2773,0.0012,0
20.7703,20.7456,24.750,11,3,12,0.1614,0.0967,0.2863,0.0000,0
20.8167,20.8805,-63.800,11,4,13,0.1388,0.0750,0.2557,0.0012,0
20.8805,20.8805,0.000,11,4,13,0.8968,0.9324,0.6035,0.1262,1
20.9386,20.8805,58.100,11,4,13,0.1585,0.0000,0.3355,0.0047,0
21.0141,21.0140,0.075,11,4,14,0.1895,0.0000,0.3660,0.1928,0
21.0605,21.0140,46.475,11,4,14,0.1653,0.1148,0.2711,0.0000,0
21.1069,21.1476,-40.650,11,4,15,0.1534,0.1073,0.2503,0.0033,0
21.1534,21.1476,5.850,11,4,15,0.3154,0.1172,0.2820,0.6598,0
21.4146,21.4146,0.000,12,1,1,1.0000,1.0000,0.9589,0.1168,1
21.5481,21.5481,-0.025,12,1,2,0.2076,0.0000,0.4085,0.1903,0
21.6410,21.6816,-40.650,12,1,3,0.1439,0.0785,0.2644,0.0016,0
21.6874,21.6816,5.750,12,1,3,0.3352,0.1317,0.3449,0.6650,0
21.7629,21.8152,-52.275,12,1,4,0.1623,0.1063,0.2758,0.0000,0
21.8093,21.8152,-5.875,12,1,4,0.1643,0.1063,0.2810,0.0029,0
21.8558,21.8152,40.625,12,1,4,0.1530,0.0813,0.2834,0.0000,0
21.9487,21.9487,0.000,12,2,5,0.9946,1.0000,0.4999,0.1031,1
22.0764,22.0822,-5.800,12,2,6,0.1422,0.0000,0.2866,0.1078,0
22.1460,22.0822,63.800,12,2,6,0.1688,0.1176,0.2763,0.0000,0
22.2215,22.2157,5.800,12,2,7,0.3051,0.0984,0.2682,0.6535,0
22.2912,22.3492,-58.000,12,2,8,0.1655,0.1222,0.2593,0.0000,0
22.3376,22.3492,-11.600,12,2,8,0.1671,0.1100,0.2830,0.0026,0
22.3840,22.3492,34.800,12,2,8,0.1604,0.0982,0.2819,0.0029,0
22.4363,22.4827,-46.400,12,3,9,0.1508,0.1115,0.2361,0.0000,0
22.4827,22.4827,0.000,12,3,9,0.8806,0.9378,0.4519,0.0819,1
22.6220,22.6177,4.325,12,3,10,0.1948,0.0000,0.3785,0.1923,0
22.6743,22.6177,56.625,12,3,10,0.1660,0.1114,0.2782,0.0023,0
22.7614,22.7527,8.750,12,3,11,0.2634,0.0322,0.0000,0.6512,0
22.8194,22.7527,66.750,12,3,11,0.1588,0.1084,0.2632,0.0000,0
22.8659,22.8876,-21.725,12,3,12,0.1727,0.1196,0.2838,0.0017,0
22.9123,22.8876,24.675,12,3,12,0.1636,0.1067,0.2787,0.0000,0
22.9645,23.0226,-58.100,12,4,13,0.1476,0.1023,0.2425,0.0023,0
23.0226,23.0226,0.000,12,4,13,0.9247,0.9771,0.5254,0.1220,1
23.0806,23.0226,58.000,12,4,13,0.1478,0.0000,0.3128,0.0049,0
23.1561,23.1561,-0.000,12,4,14,0.1960,0.0000,0.3814,0.1922,0
23.2025,23.1561,46.400,12,4,14,0.1716,0.1203,0.2795,0.0000,0
23.2490,23.2896,-40.600,12,4,15,0.1472,0.1020,0.2418,0.0034,0
23.2954,23.2896,5.800,12,4,15,0.3121,0.1183,0.2550,0.6643,0
23.5566,23.5566,0.000,13,1,1,1.0000,1.0000,0.8959,0.1106,1
23.6902,23.6901,0.075,13,1,2,0.2073,0.0000,0.4087,0.1873,0
23.7598,23.8237,-63.850,13,1,3,0.1479,0.0886,0.2623,0.0000,0
23.8295,23.8237,5.850,13,1,3,0.3290,0.1213,0.3366,0.6616,0
23.9049,23.9572,-52.275,13,1,4,0.1750,0.1205,0.2887,0.0000,0
23.9514,23.9572,-5.775,13,1,4,0.1678,0.1091,0.2863,0.0029,0
23.9978,23.9572,40.625,13,1,4,0.1563,0.0975,0.2723,0.0000,0
24.0907,24.0907,0.000,13,2,5,0.9448,1.0000,0.4165,0.0936,1
24.2184,24.2257,-7.275,13,2,6,0.1414,0.0000,0.2891,0.0910,0
24.2881,24.2257,62.425,13,2,6,0.1710,0.1170,0.2833,0.0000,0
24.3635,24.3606,2.850,13,2,7,0.3078,0.1108,0.2850,0.6411,0
24.4332,24.4956,-62.425,13,2,8,0.1616,0.1078,0.2716,0.0000,0
24.4796,24.4956,-16.025,13,2,8,0.1740,0.1206,0.2857,0.0023,0
24.5261,24.4956,30.475,13,2,8,0.1539,0.0976,0.2659,0.0029,0
24.5783,24.6306,-52.300,13,3,9,0.1473,0.0940,0.2537,0.0000,0
24.6306,24.6306,0.000,13,3,9,0.9092,0.9344,0.6716,0.1264,1
24.7699,24.7641,5.800,13,3,10,0.1873,0.0000,0.3714,0.1625,0
24.8163,24.7641,52.200,13,3,10,0.1708,0.1166,0.2832,0.0019,0
24.8628,24.8976,-34.800,13,3,11,0.1607,0.1044,0.2742,0.0000,0
24.9092,24.8976,11.600,13,3,11,0.2663,0.1201,0.2514,0.5267,0
24.9615,24.8976,63.900,13,3,11,0.1654,0.1128,0.2745,0.0000,0
25.0079,25.0311,-23.200,13,3,12,0.1646,0.1049,0.2837,0.0020,0
25.0543,25.0311,23.200,13,3,12,0.1556,0.1071,0.2568,0.0000,0
25.1066,25.1646,-58.000,13,4,13,0.1493,0.0936,0.2595,0.0019,0
25.1646,25.1646,0.000,13,4,13,0.9544,1.0000,0.4650,0.1168,1
25.2981,25.2981,-0.025,13,4,14,0.2009,0.0000,0.3931,0.1903,0
25.3446,25.2981,46.475,13,4,14,0.1592,0.0955,0.2824,0.0000,0
25.3910,25.4316,-40.650,13,4,15,0.1388,0.1021,0.2182,0.0034,0
25.4375,25.4316,5.850,13,4,15,0.3032,0.1111,0.2145,0.6650,0
25.6987,25.6987,0.000,14,1,1,1.0000,1.0000,0.8173,0.1030,1
25.8322,25.8336,-1.450,14,1,2,0.2059,0.0000,0.4071,0.1830,0
25.9019,25.9686,-66.700,14,1,3,0.1517,0.0924,0.2671,0.0000,0
25.9715,25.9686,2.900,14,1,3,0.3182,0.1066,0.3193,0.6540,0
26.0470,26.1035,-56.550,14,1,4,0.1751,0.1145,0.2978,0.0000,0
26.0934,26.1035,-10.150,14,1,4,0.1695,0.1137,0.2839,0.0029,0
26.1399,26.1035,36.350,14,1,4,0.1455,0.0963,0.2460,0.0000,0
26.1921,26.2385,-46.400,14,2,5,0.1528,0.0972,0.2636,0.0027,0
26.2385,26.2385,0.000,14,2,5,0.8965,0.8884,0.8115,0.1299,1
26.3605,26.3720,-11.525,14,2,6,0.1408,0.0000,0.2914,0.0738,0
26.4301,26.3720,58.075,14,2,6,0.1659,0.1073,0.2839,0.0000,0
26.5056,26.5055,0.050,14,2,7,0.3075,0.1191,0.2986,0.6240,0
26.5752,26.6391,-63.875,14,2,8,0.1643,0.1072,0.2797,0.0000,0
